handle;displayName;description;centrality;pageRank;community;insideFollowers;followersCount;followsCount;postsCount
muzhou-zhang.bsky.social;Muzhou Zhang;"Aarhus postdoc | Essex PhD
muzhouzhang.com";6,47806186011739e+02;4,11561453395293e-05;4;35;83;164;0
sarangnemo.bsky.social;Sarang Dalal;Professor, Center of Functionally Integrative Neuroscience, Aarhus University;3,37493399755113e+03;6,83342241236198e-05;5;79;157;241;18
kristianvsf.bsky.social;Kristian Vrede Skaaning Frederiksen;Assistant professor at Aarhus University. Democratic erosion, citizens & elites;4,23850973675960e+03;9,76850303156625e-05;4;112;321;257;58
henrikseeberg.bsky.social;Henrik Bech Seeberg;"Professor in political science at Aarhus University. 

Party competition | Political Agendas | ‘Sapere Aude’ Research Leader on Youth Representation & Youth Wings. Father of 4. 

www.henrikbechseeberg.com";2,51709650453602e+03;1,22358852901474e-04;4;137;339;190;41
ikashnitsky.phd;Ilya Kashnitsky ;"Demographer / Assist Prof CPop SDU / PhD'20 U Groningen / EDSD 2017-18 /
#dataviz https://bsky.app/profile/datavizartskill.ikashnitsky.phd
#demography #openscience #bibliometrics #rstats 
🔗  https://ikashnitsky.phd";5,94760358581698e+04;1,49976602792140e-04;2;152;617;716;318
statespowerlegsdu.bsky.social;States, Power and Legitimacy SDU;"Welcome to States, Power and Legitimacy SDU - a research group at the University of Southern Denmark

#statespowerlegsdu";1,43189303143861e+04;1,23511260390428e-04;8;52;130;289;20
madshovethy.bsky.social;Mads Hove;PhD candidate @UvA & Research fellow @DDC/SDU | Online political microtargeting | Berlingo owner;9,51587769544655e+02;4,09865768730751e-05;4;32;112;160;35
pietervanhuysse.bsky.social;Pieter Vanhuysse;Professor of politics & public policy, PhD(LSE),  Dep. Politics & Danish Institute for Advanced Study, SDU. Political economy, political demography, aging democracies & welfare states, generations https://portal.findresearcher.sdu.dk/en/persons/vanhuysse;2,69602354693735e+03;5,65333190927175e-05;2;56;154;168;42
jdoucette.bsky.social;Jonathan S Doucette;"Associate Professor, Department of Politics, Aalborg University. My research examines religion, historical regimes, state formation, and democratization.
Personal website: https://t.co/M1J5XAy13P";2,35822897522157e+03;6,83770075045853e-05;4;69;153;165;22
michiwagner4.bsky.social;Michael Wagner;"Prof. at Centre for Microbiology and Environmental Systems Science at University of Vienna, Austria and at Aalborg University, Denmark. Director of Cluster of Excellence ""Microbiomes drive Planetary Health"", Dad, Views are my own. ";1,56380144852229e+04;1,13003490379922e-04;6;125;1185;631;108
runestahl.bsky.social;Rune Møller Stahl;Assistant professor in political economy at Copenhagen Business School;1,40346500415510e+04;1,06338822772333e-04;4;100;422;244;41
birthelarsen.bsky.social;Birthe Larsen;"Associate professor at Copenhagen Business School, economist, author, Msc econ London School of Economics, Phd University of Copenhagen. 

https://sites.google.com/view/birthelarsen/start";2,23175345549893e+02;4,08806197350974e-05;2;33;269;74;54
phdskat.org;Rasmus Corlin Christensen;Political economist, Copenhagen Business School | International tax, green accounting, professionals and expertise | phdskat.org;3,86156830658305e+03;7,87752253450848e-05;4;69;282;162;177
kristiansn89.bsky.social;Kristian Steensen Nielsen;Assistant Professor at Copenhagen Business School | Interested in behavior change, climate change mitigation, biodiversity conservation, and environmental psychology ;3,07537320349572e+04;1,00848945579954e-04;7;107;415;486;25
p-hunermund.com;Paul Hünermund;Assistant Professor for Strategy & Innovation at Copenhagen Business School | Co-founder of causalscience.org | Associate Editor at Journal of Causal Inference | Executive Team at AOM TIM;5,43738959555393e+04;2,81125761090323e-04;2;259;1477;636;639
bcegerod.bsky.social;Benjamin C.K. Egerod;"Assistant Prof Copenhagen Business School | Fellow UChicago Stigler Center | Political economy, money in politics, lobbying, non-market strategy | Occasional posts in Danish.
https://sites.google.com/view/bcegerod ";8,33117383480704e+03;1,08817951010222e-04;4;98;266;297;37
ioa-cbs.bsky.social;Department of Organization (IOA) at CBS;Department of Organization - pursues a problem-oriented, business-in-society approach to understanding organizations and organizational phenomena at all levels. Research and teaching is based on an interdisciplinary social-scientific perspective.;8,24395544800445e+03;4,62153348244524e-05;2;42;125;445;1
chellersgaard.bsky.social;Christoph Ellersgaard;Elite researcher (pun unintended). Contact: +4551789040;1,33356000502640e+03;5,15435412305922e-05;4;44;265;127;18
annebind.bsky.social;Anne Binderkrantz;Professor of political science | Political influence and elites | Member of board @AarhusUni | Member of governing committee of the Danish Power and Democracy Study;9,27371730777990e+04;1,94339278562469e-04;4;216;803;784;149
liselottewiller.bsky.social;Liselotte Willer;"I'm a theologian interested in philosophy, history of ideas and in political economics and history.

My life is complete with a camera in one hand and a cup of coffee in the other.";3,93029616875858e+03;4,52037727801739e-05;4;34;200;273;301
mvinaes.bsky.social;Martin Vinæs Larsen;political scientist | housing politics | understanding nimbyism;2,15804394017406e+03;1,01006732962421e-04;4;98;304;178;9
nklsaltrmrk.bsky.social;Niklas Altermark;Välfärdsforskare, statsvetare, hedersmedlem. Jobbar på Lunds universitet och Katalys. Skoningslös kritik. ;2,90494732514500e+02;4,02679762038512e-05;3;32;711;322;148
warandcoffee.bsky.social;Dustin Johnson 🇺🇦;PhD student at Göteborgs Universitet 🇸🇪 working on 🇺🇳 peacekeeping, child protection, and my third coffee of the day. Views my own, etc. ;2,70282570610049e+03;4,85460655684303e-05;4;34;173;190;91
evamayerhoeffer.bsky.social;Eva Mayerhöffer;Associate Professor of Political Journalism at Roskilde University, researching alternative news media and digital counterpublics;3,96122001360383e+02;4,10553678749206e-05;4;30;81;79;0
askekammer.bsky.social;Aske Kammer;"Associate Professor of Journalism Studies at Roskilde University. I research the intersection of digital technology, business models, and work and management in the news media.

https://www.AskeKammer.dk
https://www.DatafiedNewsIndustry.org

DK/ENG";8,80221189977458e+02;5,71764367960767e-05;4;42;239;143;155
leneaaroe.bsky.social;Lene Aarøe;Professor of Political Science @AarhusUni interested in political psychology, political communication and AI;7,39882919371423e+02;4,79027312735255e-05;4;41;100;85;0
chrismmcox.bsky.social;Chris Cox;PhD student @AarhusUni (@interact_minds) & @UniOfYork. Interests: acoustic phonetics, phonological development, vocal exploration, Bayesian stats. He/Him;1,19219164612979e+04;8,75460844995212e-05;5;103;219;475;1
rmuriaas.bsky.social;Ragnhild Muriaas;Professor, political science, University of Bergen. ERC project on gender and political careers. Love stuff I don’t know. ;1,56911511800741e+04;9,70566433976456e-05;4;105;237;302;18
kstroemsnes.bsky.social;Kristin Strømsnes;Political scientist. Professor and Deputy Head of Department of Comparative Politics, University of Bergen https://www.uib.no/en/persons/Kristin.Strømsnes ;2,02253298340440e+02;3,82772366590638e-05;4;31;102;111;9
tbroekel.bsky.social;Tom Broekel;Professor in Regional Innovation, University of Stavanger Business School, #regional #economics, #economic #geography, #innovation studies, social network analysis, #EconSky;1,36062716803691e+03;4,45358364911947e-05;2;40;296;183;180
melinabuns.bsky.social;Melina Antonia Buns;international, environmental, and energy historian • associate professor at University of Stavanger, Norway, and the Greenhouse Center for Environmental Humanities • radioactive waste and Nordic environmental cooperation.;5,23297007051456e+04;1,79631504278691e-04;8;197;505;742;143
greenhouseuis.bsky.social;Greenhouse Center for Environmental Humanities;"The Greenhouse Center for Environmental Humanities is a research center at University of Stavanger, Norway. 
- Webpage: https://www.uis.no/en/greenhouse
- Weekly book talks: https://newnatures.org/greenhouse/";2,01135991276949e+04;1,42766142146787e-04;8;141;475;401;49
electricpunkah.bsky.social;Animesh Chatterjee;"Marie Sklodowska-Curie Actions postdoctoral fellow at The Greenhouse (Universitetet i Stavanger), writing about “Weathering Colonial Calcutta”.
www.electricpunkah.com";1,52089878370285e+03;5,53787627730045e-05;8;47;88;110;16
fmerhout.bsky.social;Friedolin Merhout;Assistant Professor of Sociology & Head of Studies for MSc in Social Data Science at University of Copenhagen. Duke University PhD. Intergroup relations & computational social science. He/him/his. fmerhout.github.io;1,71215728292260e+04;1,35085212745724e-04;2;138;341;393;26
hscottfordsmand.bsky.social;Helene Scott;Philosophy-medicine-bodies | Carlsberg foundation postdoc @ CambridgeHPS working on messy categories in clinical enquiry. Research fellow @ Clare Hall | PhD from Medical Museion (@ UCPH);2,91050503293296e+03;9,15758645366655e-05;3;106;190;139;32
